,Relativní průměrná délka běhu
dynamic_8,0.958385186568988
dynamic_16,0.9584591693035203
dynamic_32,0.9588172946873287
dynamic_64,0.9595004089329574
dynamic_default,0.9623755435441934
guided_default,0.9633596128029681
guided_8,0.9644806081450193
guided_16,0.9648217496359102
guided_32,0.9653713197965667
guided_64,0.9663842403899408
static_default,0.9928343890027489
static_16,0.9936772004596617
static_64,0.9951183334428164
static_8,0.9964247752932648
static_32,1.0
